"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"162","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,31.0060177354868,225,48.5187392819361,52
"163","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
"164","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"165","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"166","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"167","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"168","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"169","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,16.0115211441688,101,48.5187392819361,52
"170","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,16.0115211441688,101,48.5187392819361,52
"171","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,37.9209113525081,279,48.5187392819361,52
"172","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,37.9209113525081,279,48.5187392819361,52
"173","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"174","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"175","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"176","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"177","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"178","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"179","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,1.59574468085107,1,48.5187392819361,52
"180","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,1.59574468085107,1,48.5187392819361,52
"181","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"182","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"183","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"184","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,26.2031819481392,152,48.5187392819361,52
"185","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,30.8131110261534,193,48.5187392819361,52
"186","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,30.8131110261534,193,48.5187392819361,52
"187","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"188","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"189","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"190","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"191","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"192","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,30.8131110261534,193,48.5187392819361,52
"193","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"194","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"195","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,1.59574468085107,1,48.5187392819361,52
"196","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,1.59574468085107,1,48.5187392819361,52
"197","Sudan",68.3571652825906,75,21.2142236662493,75,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"198","Sudan",68.3571652825906,75,21.2142236662493,75,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"199","Sudan",68.3571652825906,75,21.2142236662493,75,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"200","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"201","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,30.8131110261534,193,48.5187392819361,52
"202","Sudan",66.930209098151,11,21.2142236662493,75,16.670667949279,6,30.8131110261534,193,48.5187392819361,52
"203","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"204","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,37.9209113525081,279,48.5187392819361,52
"205","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"206","Sudan",70.4222725902145,142,20.8560372739477,11,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"207","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"208","Sudan",72.8645241333039,243,29.0193025800702,150,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"209","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"210","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,9.09662752714752,33,48.5187392819361,52
"211","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,31.0060177354868,225,48.5187392819361,52
"212","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,31.0060177354868,225,48.5187392819361,52
"213","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"214","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,9.09662752714752,33,48.5187392819361,52
"215","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"216","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,26.2031819481392,152,48.5187392819361,52
"217","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,15.4255319148936,69,48.5187392819361,52
"218","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,15.4255319148936,69,48.5187392819361,52
"219","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,37.9209113525081,279,48.5187392819361,52
"220","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,37.9209113525081,279,48.5187392819361,52
"221","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,16.0115211441688,101,48.5187392819361,52
"222","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,16.0115211441688,101,48.5187392819361,52
"223","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,30.8131110261534,193,48.5187392819361,52
"224","Sudan",68.3571652825906,75,29.3774889723717,214,16.670667949279,6,30.8131110261534,193,48.5187392819361,52
"225","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"226","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,1.59574468085107,1,48.5187392819361,52
"227","Sudan",72.8645241333039,243,20.8560372739477,11,19.5766114881881,138,31.0060177354868,225,48.5187392819361,52
