"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"253","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,NA,7.34209090909091,35.29,1,8.08
"254","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,NA,35.29,1,8.08
"255","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,2.53,NA,35.29,1,8.08
"256","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,NA,35.29,1,8.08
"257","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,NA,35.29,1,8.08
"258","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,NA,35.29,1,8.08
"259","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,NA,35.29,1,8.08
"260","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,7.34209090909091,35.29,1,8.08
"261","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,7.34209090909091,35.29,1,8.08
"262","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,NA,35.29,1,8.08
"263","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,NA,35.29,1,8.08
"264","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,7.34209090909091,35.29,1,8.08
"265","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,7.34209090909091,35.29,1,8.08
"266","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,NA,NA,35.29,1,8.08
"267","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,NA,NA,35.29,1,8.08
"268","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,NA,7.34209090909091,35.29,1,8.08
"269","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,NA,7.34209090909091,35.29,1,8.08
"270","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,NA,35.29,1,8.08
"271","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,NA,35.29,1,8.08
