"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"124","Norway",99.0278116743243,177,99.0049751243781,182,95.3342438573603,180,62.2033775932244,161,95.6945923559342,178
"125","Oman",92.2718762416452,133,55.0335059396893,93,50.7062650865213,100,52.0860444428748,113,70.2786652467164,131
"126","Pakistan",59.1303334179485,7,28.314211256642,21,35.674648761013,46,31.1241208070098,35,62.7403981159167,112
"127","Palestine, State of",60.1190476190476,8,55.5730418203766,98,41.8881125437285,66,24.468085106383,18,38.0099502487562,19
"128","Panama",86.813276599357,94,40.4905743391884,44,62.6980901530602,129,63.4179167405748,166,52.2054088803409,77
"129","Papua New Guinea",84.1579272527055,67,23.6428402206654,14,44.9462665246435,78,36.8434988751675,49,33.6777330952621,13
"130","Paraguay",82.6290751017781,58,42.1413341455985,48,43.874779464991,73,49.1752964877102,97,51.4402958583017,72
"131","Peru",81.4739397454988,52,55.506481199445,97,56.6702043440924,114,62.6073985287641,163,58.2448160334289,99
"132","Philippines",72.0817709456767,19,55.157884049142,94,53.9012858119955,107,50.9526872267788,107,34.9004975124378,15
"133","Poland",95.5291339343928,155,75.6579912230232,151,75.4513888888889,149,68.6530511267576,173,81.2798008537363,145
"134","Portugal",94.2982294802097,143,80.5400435464401,158,78.064964418517,156,49.0664487906625,96,93.7344692935747,175
"135","Qatar",98.1564464157497,173,74.903543506955,150,60.441529322555,124,75.2216925144443,177,87.5,165
"136","Romania",89.4332969019146,113,46.4488780586862,61,60.3543001574365,123,60.7001165722615,155,73.5961742582791,137
"137","Russian Federation",75.7854026339876,29,51.0215363093828,77,40.0339773574883,59,53.7400762765226,126,66.5423062182873,123
"138","Rwanda",86.4194576788352,89,56.7970803578479,103,44.3152947049579,76,56.102948249061,131,44.8977600460601,41
"139","Saint Kitts and Nevis",94.4047619047619,144,68.1549734321589,136,73.4956450356572,144,28.3805152765185,26,50,59
"140","Saint Vincent and the Grenadines",93.6904761904762,141,69.6288963346533,139,72.0665085076282,143,35.8045984512479,48,50,59
"141","Samoa",94.7619047619048,148,54.5396599767602,92,57.3702705389999,117,43.8066997770716,79,50,59
"142","Sao Tome and Principe",84.1666666666667,68,47.2738349070972,67,43.3197115980084,70,30.7321077006899,33,51.2437810945274,70
"143","Saudi Arabia",85.0482745773543,81,50.512742410397,74,39.7430956371914,58,59.231922415953,143,85.56531771388,156
"144","Senegal",87.5656738220803,98,51.5799686375379,78,50.2780590373251,98,20.9411474954314,12,49.2816711614098,55
"145","Serbia",87.6026770608216,99,59.9773242630385,112,55.2152753694391,111,49.0153094932099,95,71.2464744082216,134
"146","Sierra Leone",86.8006258186753,93,43.5289538701053,53,36.9490194277237,52,37.6853203324607,56,45.5225911620456,43
"147","Singapore",99.0294622887656,178,93.2878126374928,173,84.8929734312082,167,67.890301926832,172,58.6483848065318,100
"148","Slovakia",97.1735290962061,169,69.0250561252693,138,74.6892821705874,147,71.114918988167,175,86.0776080548624,158
"149","Slovenia",95.3860964029574,152,78.2623165352376,153,74.4689690728034,145,55.252193980227,129,87.4126880683554,164
"150","Solomon Islands",91.4170171274829,129,35.2895387010526,33,38.9284707944215,57,51.0228832360469,108,28.5986865459709,8
"151","Somalia",64.8362830318333,9,0.588892273327242,1,2.30654761904762,2,NA,183,0,1
"152","South Africa",80.9058513102931,46,60.0117327196218,113,65.2674468651688,134,60.1325666752828,152,52.0618861673175,76
"153","South Sudan",71.8492287746541,18,20.8560372739477,10,19.5766114881881,11,1.59574468085107,1,0,1
"154","Spain",88.355198079628,105,79.4011800408389,156,77.9070857795173,155,53.2378320934983,120,87.2451109733547,163
"155","Sri Lanka",82.8972881583741,59,60.1578276418362,114,45.8769621078881,82,53.7621002062924,127,65.034147685428,118
"156","Sudan",67.9455044568008,11,29.3774889723717,22,16.670667949279,6,30.8131110261534,34,48.5187392819361,52
"157","Suriname",89.7503504608162,119,60.9548628738394,117,54.1361581769289,108,29.5229528451839,27,33.5310137279524,11
"158","Swaziland",84.7771670504345,75,42.1255400999537,47,38.2337313284946,56,34.7460055519906,44,43.9162193999827,38
"159","Sweden",97.4050218765364,172,98.8538035446351,181,96.5887749744716,181,60.8797729194036,156,96.4584779333718,179
"160","Switzerland",99.3320670762548,182,96.3177310725285,178,93.8766467875515,177,60.927899089776,157,90.9163183019938,170
"161","Syrian Arab Republic",33.5290549407017,1,42.2970183098115,49,16.9361416970117,7,31.2139730811022,38,67.737333919681,125
"162","Taiwan, Province of China",92.9761904761905,138,67.9383693776018,134,79.0145061116753,157,37.9575169294795,57,NA,183
"163","Tajikistan",79.323949590235,43,41.8045825295292,46,25.379947243622,21,37.1574791481449,52,53.3434619589309,82
"164","Tanzania, United Republic of",84.0820638339765,66,25.976128428154,18,44.4802616006231,77,47.6060323641449,90,54.7187297449564,87
"165","Thailand",75.5964767369848,27,61.0671134125292,118,53.581867859276,106,60.0727010600161,151,72.1472509656192,135
"166","Timor-Leste",85.3753674090895,83,33.2554912512269,28,37.5167147302248,54,31.8183333320538,39,42.7083520982238,34
"167","Togo",84.7005490651038,73,41.3854762468835,45,28.2852121471096,28,28.1567842659156,25,36.8432420785671,17
"168","Trinidad and Tobago",88.9976820657204,110,59.5407317155718,111,62.2867080694482,128,59.2161367736064,142,61.7541949464605,110
"169","Tunisia",81.1419186506463,49,62.0305501968615,124,50.5174496175558,99,49.2975382607425,99,67.8592041567102,127
"170","Turkey",77.6460364896827,31,64.6021592716689,129,57.7966230275707,119,53.2080918820815,119,64.4889856715711,116
"171","Turkmenistan",89.506195109701,115,15.6031069144076,4,9.91817841523061,4,95.1105979143362,179,53.8700710151762,85
"172","Uganda",78.012874884674,36,29.8891032366512,24,43.2088187855918,69,39.6530131857144,64,50.8185730912353,68
"173","Ukraine",81.4567438800522,51,49.8144199636737,72,41.5564438884623,64,44.6492155435265,83,79.7479588214412,144
"174","United Arab Emirates",95.6368424217343,156,80.6601911079523,159,60.0655842216662,122,60.4345673211191,154,84.251863684771,153
"175","United Kingdom",92.0176816176965,131,91.6793583104884,170,89.5459843017607,173,60.1972224848546,153,84.9439525835501,155
"176","United States",84.7571888263571,74,87.3799934567525,164,83.9543354912047,166,61.5710979347531,160,81.9877361506278,149
"177","Uruguay",94.8323270480293,150,80.016583747927,157,70.0687133416455,139,51.8903803011786,112,65.0132369745168,117
"178","Uzbekistan",83.6169442646454,63,45.8568833835358,58,18.3968730475255,8,43.2558598993278,78,56.236849123216,91
"179","Venezuela, Bolivarian Republic of",72.5481655189001,20,34.5201430489277,32,25.1548286501468,19,33.205196936489,42,68.2967837419223,128
"180","Viet Nam",88.7286083315943,107,55.3271059667648,96,35.6224549021389,44,50.3456651447062,104,50.6501482647112,66
"181","Yemen",68.570992095094,12,18.1766902449205,7,28.0191087908489,27,27.5117630109301,24,50.3830598516117,63
"182","Zambia",90.752915987262,125,30.2974921311808,25,45.971624438169,83,55.1580943067169,128,39.000259617779,22
"183","Zimbabwe",82.2144997046579,56,24.5524080278878,15,20.2512722908943,13,23.0623976143531,15,32.3748668796592,9
