"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability"
"166","Panama",NA,0.0206733298264072,-0.16,-0.39,-0.23,0.31,0.39,0.46,NA,61,9.27,7.71545454545455,51.9,3,45.03
"167","Papua New Guinea",NA,0.00353006836891307,-0.62,-1.04,-0.86,-0.77,-0.52,-0.04,NA,122,4.26,5.41127272727273,50.88,2,67.15
"168","Paraguay",NA,0.00991475998205473,-0.83,-0.84,-0.87,-0.9,-0.32,-0.14,76,96,7.57,3.57345454545455,48.01,2,53.18
"169","Peru",NA,0.00367146858743497,-0.87,-0.39,-0.61,-0.16,0.49,0.07,96,36,8.88,6.04154545454545,45.33,3,48
"170","Philippines",296,0.00907897049851614,-1.16,-0.58,-0.55,0.08,-0.06,-0.05,90,130,8.43,5.03145454545455,43.03,3,53.85
"171","Pitcairn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Poland",NA,0.0015990159901599,1.03,0.59,0.74,0.66,0.96,1.04,100,39,11.32,4.039,32.78,4,33.51
"173","Portugal",NA,0.000782723500565824,0.76,0.93,1.04,1.03,0.81,1,100,23,7.52,0.049,NA,5,33.01
"174","Puerto Rico",NA,NA,0.63,0.57,0.81,0.41,0.92,0.66,NA,34,NA,NA,NA,NA,NA
"175","Qatar",NA,0.00117016089712335,1.21,1.19,1.03,0.95,0.8,-0.8,NA,40,8.43,13.3879090909091,NA,4,30.3
"176","Reunion",NA,NA,0.47,0.82,0.88,1,1.07,1.28,NA,NA,NA,NA,NA,NA,NA
"177","Romania",NA,0.00139737991266376,0.07,-0.27,0.02,-0.31,0.54,0.3,NA,64,10.67,3.60536363636364,27.33,3,41.52
"178","Russian Federation",516,0.00532583641824405,-0.83,-1.02,-0.82,-0.43,-0.36,-0.98,100,115,11.53,4.71563636363636,39.69,3,41.05
"179","Rwanda",86,0.0152208064234596,-0.2,0.65,-0.26,-0.06,-0.1,-1.26,63,71,4.36,8.09281818181818,50.82,2,60.9
"180","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Saint Helena, Ascension and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Saint Kitts and Nevis",NA,NA,0.99,0.98,0.7,0.84,0.39,1.14,NA,103,NA,1.08145454545455,NA,3,NA
"183","Saint Lucia",NA,NA,0.91,0.96,0.61,0.58,0.3,1.11,92,63,NA,1.84181818181818,42.58,3,NA
"184","Saint Martin (French part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Saint Vincent and the Grenadines",NA,NA,0.94,0.98,0.88,0.84,0.33,1.03,NA,81,NA,2.47036363636364,NA,3,NA
"187","Samoa",NA,NA,1.02,0.15,0.7,0.09,-0.34,0.42,48,55,NA,2.27754545454545,NA,3,NA
"188","San Marino",NA,NA,1.06,NA,0.94,NA,NA,1.21,100,67,NA,0.728363636363636,NA,5,NA
"189","Sao Tome and Principe",NA,NA,0.02,-0.39,-0.81,-0.72,-0.8,0.14,75,153,NA,4.60590909090909,33.87,2,NA
"190","Saudi Arabia",NA,0.000820135746606335,-0.45,-0.06,0.24,0.03,0.1,-1.81,NA,30,8.53,5.81390909090909,NA,4,39.82
"191","Senegal",NA,0.00188692991403176,-0.12,-0.3,-0.32,-0.46,-0.1,-0.04,75,170,2.74,3.88654545454545,40.31,2,62.4
"192","Serbia",NA,0.00123521406887889,-0.22,-0.31,-0.39,-0.11,-0.08,0.18,99,98,10.85,2.89845454545455,29.65,3,38.3
"193","Seychelles",NA,NA,0.76,0.33,-0.04,0.38,-0.31,0.08,NA,79,NA,3.15672727272727,65.77,4,41.86
"194","Sierra Leone",NA,0.0101856497742097,-0.28,-0.95,-0.87,-1.21,-0.71,-0.35,78,151,4.23,8.55772727272727,35.35,1,72.1
"195","Singapore",NA,0.000452574014708655,1.34,2.15,1.77,2.15,1.96,0.08,NA,1,10.81,6.24027272727273,NA,2,28.78
"196","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Slovakia",NA,0.001120088138083,1.07,0.07,0.46,0.83,1.03,0.95,100,38,12.82,4.53954545454545,26.58,4,34.92
"198","Slovenia",NA,0.000725338491295938,0.92,0.81,0.98,1.02,0.61,0.98,100,43,11.89,2.02981818181818,24.87,4,31.42
"199","Solomon Islands",NA,0.00290909090909091,0.26,-0.44,-0.6,-0.82,-1.07,-0.05,NA,88,NA,5.43354545454545,NA,2,63.98
"200","Somalia",2622,0.00564982834722903,-2.85,-1.59,-2.45,-2.23,-2.26,-2.23,3,NA,NA,NA,NA,1,NA
"201","South Africa",NA,0.0164490512732409,-0.02,-0.16,0.08,0.33,0.38,0.56,85,35,9.69,3.53663636363636,65.02,4,44.55
"202","South Sudan",504,0.00913452666543643,-1.2,-1.34,-1.39,-1.59,-1.5,-1.28,35,184,NA,NA,NA,1,NA
